anio,mes,prov_id,grupo_edad,sexo,pob_mensual
2010,1,66,20 a 39 años,Masculino,180343
2010,1,66,40 a 49 años,Femenino,63821
2010,1,66,40 a 49 años,Masculino,61078
2010,1,66,50 a 59 años,Femenino,51141
2010,1,66,50 a 59 años,Masculino,48303
2010,1,66,60 a 69 años,Femenino,35343
2010,1,66,60 a 69 años,Masculino,32303
2010,1,66,70 a 79 años,Femenino,21135
2010,1,66,70 a 79 años,Masculino,17844
2010,1,66,80+ años,Femenino,10795
2010,1,66,80+ años,Masculino,6793
2010,1,70,20 a 39 años,Femenino,102678
2010,1,70,20 a 39 años,Masculino,103182
2010,1,70,40 a 49 años,Femenino,37731
2010,1,70,40 a 49 años,Masculino,35454
2010,1,70,50 a 59 años,Femenino,33620
2010,1,70,50 a 59 años,Masculino,30064
2010,1,70,60 a 69 años,Femenino,25952
2010,1,70,60 a 69 años,Masculino,22262
2010,1,70,70 a 79 años,Femenino,15390
2010,1,70,70 a 79 años,Masculino,11510
2010,1,70,80+ años,Femenino,7860
2010,1,70,80+ años,Masculino,4512
2010,1,74,20 a 39 años,Femenino,66494
2010,1,74,20 a 39 años,Masculino,65863
2010,1,74,40 a 49 años,Femenino,24863
2010,1,74,40 a 49 años,Masculino,24976
2010,1,74,50 a 59 años,Femenino,20990
2010,1,74,50 a 59 años,Masculino,20512
2010,1,74,60 a 69 años,Femenino,15775
2010,1,74,60 a 69 años,Masculino,14590
2010,1,74,70 a 79 años,Femenino,9507
2010,1,74,70 a 79 años,Masculino,7553
2010,1,74,80+ años,Femenino,5366
2010,1,74,80+ años,Masculino,2829
2010,1,78,20 a 39 años,Femenino,44787
2010,1,78,20 a 39 años,Masculino,49066
2010,1,78,40 a 49 años,Femenino,15297
2010,1,78,40 a 49 años,Masculino,16602
2010,1,78,50 a 59 años,Femenino,10995
2010,1,78,50 a 59 años,Masculino,12131
2010,1,78,60 a 69 años,Femenino,6600
2010,1,78,60 a 69 años,Masculino,6458
2010,1,78,70 a 79 años,Femenino,3512
2010,1,78,70 a 79 años,Masculino,3061
2010,1,78,80+ años,Femenino,1495
2010,1,78,80+ años,Masculino,984
2010,1,82,20 a 39 años,Femenino,500547
2010,1,82,20 a 39 años,Masculino,497068
2010,1,82,40 a 49 años,Femenino,187158
2010,1,82,40 a 49 años,Masculino,179642
2010,1,82,50 a 59 años,Femenino,170349
2010,1,82,50 a 59 años,Masculino,158752
2010,1,82,60 a 69 años,Femenino,136948
2010,1,82,60 a 69 años,Masculino,116654
2010,1,82,70 a 79 años,Femenino,100858
2010,1,82,70 a 79 años,Masculino,69911
2010,1,82,80+ años,Femenino,67309
2010,1,82,80+ años,Masculino,30934
2010,1,86,20 a 39 años,Femenino,129640
2010,1,86,20 a 39 años,Masculino,126715
2010,1,86,40 a 49 años,Femenino,42626
2010,1,86,40 a 49 años,Masculino,43299
2010,1,86,50 a 59 años,Femenino,36278
2010,1,86,50 a 59 años,Masculino,36907
2010,1,86,60 a 69 años,Femenino,25781
2010,1,86,60 a 69 años,Masculino,25040
2010,1,86,70 a 79 años,Femenino,16769
2010,1,86,70 a 79 años,Masculino,13548
2010,1,86,80+ años,Femenino,9462
2010,1,86,80+ años,Masculino,5468
2010,1,90,20 a 39 años,Femenino,230126
2010,1,90,20 a 39 años,Masculino,225692
2010,1,90,40 a 49 años,Femenino,77831
2010,1,90,40 a 49 años,Masculino,73627
2010,1,90,50 a 59 años,Femenino,71659
2010,1,90,50 a 59 años,Masculino,67333
